A0A010QZW2	EXF82070.1
A0A024C9U6	RVY33003.1
A0A024C9U6	RVY33901.1
A0A024C9U6	RVY46457.1
A0A024C9U6	RVY59179.1
A0A024C9U6	RVY64245.1
A0A024C9U6	RVY66128.1
A0A024C9U6	RVY76835.1
A0A024C9U6	RVY79565.1
A0A024C9U6	RVZ18991.1
A0A024C9U6	RVZ31208.1
A0A024C9U6	RVZ42647.1
A0A024C9U6	RVZ49829.1
A0A024C9U6	RVZ64891.1
A0A024C9U6	RVZ69263.1
A0A024C9U6	RVZ80590.1
A0A024C9U6	RVZ86576.1
A0A024C9U6	STR26679.1
A0A024C9U6	VEJ24961.1
A0A024EEE0	AHZ71274.1
A0A024HNV1	CDF86202.1
A0A024P1H4	CDQ22154.1
A0A024QD00	CDQ40065.1
A0A024RZF5	ETR98237.1
A0A024S0H2	ETR97716.1
A0A024S5Q4	ETS00373.1
A0A024TQ70	ETV96285.1
A0A024TRN5	ETV96286.1
A0A024V8C2	ETW19076.1
A0A024VLB5	ETW29005.1
A0A024W9H0	ETW37160.1
A0A024WRT6	ETW49924.1
A0A024XA62	ETW61960.1
A0A024YSS4	EYU69507.1
A0A024YVC4	EYU68349.1
A0A024YZ62	EYU71310.1
A0A024Z1K5	EYU70569.1
A0A026W3B6	EZA50518.1
A0A026W3B6	RLU17924.1
A0A031FKU1	EZP25499.1
A0A031GPV7	EZP37970.1
A0A031J7P5	EZP68690.1
A0A031LLX0	EZQ03141.1
A0A031WC27	CDS88734.1
A0A031WC27	CDS89340.1
A0A031WC27	CDS94678.1
A0A034T1Q6	GAJ65987.1
A0A034WTA2	JAC57874.1
A0A059A1H2	KCW47531.1
A0A059IVD3	KDB19489.1
A0A059JA18	KDB24327.1
A0A059JAK5	KDB24673.1
A0A059KID5	KDB51206.1
A0A059L8V6	KDD70763.1
A0A059MXU3	KDE16024.1
A0A059UUZ7	AHZ75084.1
A0A059UUZ7	KPM63662.1
A0A059UUZ7	MBF8707103.1
A0A059UUZ7	MBI6884179.1
A0A059UUZ7	RFP98855.1
A0A059UUZ7	RNF84624.1
A0A059VT56	AIA00550.1
A0A059VT56	GCB88152.1
A0A059VZW5	AIA01152.1
A0A059W1C9	AIA01692.1
A0A059W530	AIA04413.1
A0A059W530	GCB91984.1
A0A059W5A3	AIA06624.1
A0A059WGL8	AIA06987.1
A0A059ZZH2	AIA55292.1
A0A060B5Y2	AIA75838.1
A0A060DMB2	AIB12203.1
A0A060HHC5	AIC15989.1
A0A060LX55	AIC94782.1
A0A060LZE6	AIC95557.1
A0A060NGB0	BAO79902.1
A0A060NKR2	BAO82302.1
A0A060PZE9	BAO97471.1
A0A060Q467	BAO99740.1
A0A060RDP6	CDN32009.1
A0A060RKH5	CDO17872.1
A0A060RLB9	CDO18674.1
A0A060RRL8	CDO63929.1
A0A060SBZ4	CDO69903.1
A0A060T3G5	CDP33686.1
A0A060TD17	CDP38853.1
A0A060THP6	CDP38666.1
A0A060URH7	CDQ11237.1
A0A060URH7	OCB02737.1
A0A060ZN14	CDR07196.1
A0A060ZPS8	CDR07851.1
A0A061A3I8	CDR17400.1
A0A061A7P9	CDR13117.1
A0A061AIQ5	CDR36983.1
A0A061AIW9	CDR37073.1
A0A061AVR5	CDR41276.1
A0A061CVV0	PZR31555.1
A0A061CVV0	RRW37376.1
A0A061CVV0	SUD61695.1
A0A061D016	CDR94013.1
A0A061FCY5	EOY14753.1
A0A061FCY5	EOY14754.1
A0A061I5D3	ERE76314.1
A0A061J3P5	ESL08741.1
A0A061JRK9	EWC40819.1
A0A061JSU2	EWC42811.1
A0A061N780	GAJ99878.1
A0A061N8A5	GAJ98740.1
A0A061NGF5	GAK01546.1
A0A061NH73	GAK02005.1
A0A061NIC9	GAK02415.1
A0A061NPU0	GAK06648.1
A0A061NY84	GAK07576.1
A0A061P7S5	GAK10971.1
A0A061P8Q7	GAK11227.1
A0A061Q3C9	GAK23054.1
A0A061QGK4	GAK33369.1
A0A061R429	JAC65291.1
A0A061RG49	JAC71912.1
A0A062V3T3	KCZ71987.1
A0A062V4H8	KCZ70315.1
A0A062WVM8	CEX62982.1
A0A062WVM8	CIT15347.1
A0A062WVM8	CKI82420.1
A0A062WVM8	MTV42556.1
A0A062WVM8	MTV56911.1
A0A062WVM8	MTV67980.1
A0A062WVM8	MTV73366.1
A0A062WVM8	MTV79935.1
A0A062WVM8	MTV86025.1
A0A062WVM8	MTV88949.1
A0A062WVM8	MTV91829.1
A0A062WVM8	MTW23334.1
A0A062WVM8	MTW26797.1
A0A062WVM8	OYL25295.1
A0A062WVM8	TVW24928.1
A0A062WVM8	TVW86378.1
A0A062WVM8	TVX67912.1
A0A062WVM8	VLE35540.1
A0A062WVM8	VMD03385.1
A0A062WVM8	VNB69447.1
A0A062WVM8	VNL05725.1
A0A062WVM8	VRV28803.1
A0A062WVM8	VST60412.1
A0A062WVM8	VTE36288.1
A0A062WVM8	VTH32540.1
A0A062WXE4	KDA44912.1
A0A062X4D5	KDA44249.1
A0A062Y259	KDA54855.1
A0A063B8E4	KDB06566.1
A0A063CC68	AIE80465.1
A0A063CC68	GCF68638.1
A0A063CC68	KLA25283.1
A0A063CC68	KXI46482.1
A0A063CC68	KXY83568.1
A0A063CC68	KYQ02630.1
A0A063CC68	KZD69167.1
A0A063CC68	OKA41548.1
A0A063CC68	PEC23243.1
A0A063CC68	PEC53392.1
A0A063CC68	PEU94851.1
A0A063CC68	PFC12748.1
A0A063CC68	PFE19916.1
A0A063CC68	PFW58086.1
A0A063CC68	PKF98079.1
A0A063CC68	PRD02616.1
A0A063CC68	PWN81617.1
A0A063CC68	QKH01219.1
A0A063CC68	RAS93704.1
A0A063CC68	SCN35022.1
A0A063CC68	SME41449.1
A0A063Y1I0	KDE39524.1
A0A063YY32	KDE49581.1
A0A063Z9D5	KDE54669.1
A0A066PU34	KDM66538.1
A0A066QJF8	ART25767.1
A0A066QJF8	ATG11468.1
A0A066QJF8	ATZ33680.1
A0A066QJF8	EAA6664144.1
A0A066QJF8	EAB0917877.1
A0A066QJF8	EAB1384437.1
A0A066QJF8	EAC0672443.1
A0A066QJF8	EFG2161763.1
A0A066QJF8	EFH6163571.1
A0A066QJF8	EFI0215752.1
A0A066QJF8	EFL9210369.1
A0A066QJF8	EFL9836505.1
A0A066QJF8	HAI8958282.1
A0A066QJF8	HBA4245967.1
A0A066QJF8	MBA7720403.1
A0A066QJF8	MHQ20496.1
A0A066QJF8	MWL48684.1
A0A066QJF8	MWP27596.1
A0A066QJF8	MWR89911.1
A0A066QJF8	MWT23435.1
A0A066QJF8	MXJ10452.1
A0A066QJF8	NEM88877.1
A0A066QJF8	OKT77915.1
A0A066QJF8	PAU13145.1
A0A066QJF8	PKD88178.1
A0A066QJF8	PZZ66835.1
A0A066QJF8	QBO41231.1
A0A066QJF8	QLA45195.1
A0A066QJF8	QPR06516.1
A0A066QJF8	RLY53989.1
A0A066QJF8	STD43916.1
A0A066QJF8	STH69614.1
A0A066QJF8	STI80433.1
A0A066QJF8	STN13492.1
A0A066QJF8	TJJ37237.1
A0A066QJF8	TXU28406.1
A0A066QJF8	VCV56467.1
A0A066QJF8	VCY84900.1
A0A066RHA2	KDM89825.1
A0A066RPZ2	KDM92535.1
A0A066T6K1	OCG39875.1
A0A066T6K1	OCG53305.1
A0A066T6K1	OCG61752.1
A0A066TA81	KDN14267.1
A0A066TU35	KDN17067.1
A0A066ULA5	KAB0290708.1
A0A066ULA5	KAB0302647.1
A0A066ULA5	KDN26647.1
A0A066W325	KDN48332.1
A0A066X299	KDN63243.1
A0A066X7S0	KDN62080.1
A0A066YTJ2	KDN84868.1
A0A066Z1J8	KDN87387.1
A0A066Z639	KDN85806.1
A0A067CM62	KDO31764.1
A0A067FPN7	KDO69359.1
A0A067FPS0	KDO69357.1
A0A067FPS0	KDO69358.1
A0A067G1J6	KDO69354.1
A0A067G1J6	KDO69355.1
A0A067G1J6	KDO69356.1
A0A067KFL2	KDP35026.1
A0A067MJI9	KDQ15928.1
A0A067P5L3	KDQ31176.1
A0A067Q6P4	KDQ62644.1
A0A067QIV1	KDR08781.1
A0A067TJI5	KDR82457.1
A0A068EE92	AID46624.1
A0A068EHP1	AID46853.1
A0A068MWV2	AIE74561.1
A0A068NXU1	AIE88177.1
A0A068QPA0	CDG16466.1
A0A068QTM6	CDG18357.1
A0A068R420	CDG20865.1
A0A068R8B9	CDG22370.1
A0A068RCI6	CDG48418.1
A0A068S217	CDH56423.1
A0A068SZV6	CDN50735.1
A0A068TFR8	CDN56891.1
A0A068UCT5	CDP06276.1
A0A068V7B9	CDP16384.1
A0A068W8K3	CDS16295.1
A0A068Y8I9	CDS41096.1
A0A068YUU5	CDS53711.1
A0A068Z9Z7	BBI92034.1
A0A068Z9Z7	MXR54864.1
A0A068Z9Z7	NYV30794.1
A0A068Z9Z7	QLH62856.1
A0A069B8Y9	ARK67086.1
A0A069B8Y9	AUG19739.1
A0A069B8Y9	CPG83631.1
A0A069B8Y9	RSK67107.1
A0A069B8Y9	VBY20442.1
A0A069CZU6	GAK36133.1
A0A069D6H4	GAK38453.1
A0A069DHY1	GAK40004.1
A0A069DQH5	JAC85921.1
A0A069DX06	JAC85849.1
A0A069I427	KDP83489.1
A0A069I5M5	KDP84069.1
A0A069IMH3	KDP93100.1
A0A069JS35	KDQ67859.1
A0A069JSQ7	KDQ67055.1
A0A069JT43	KDQ67898.1
A0A069K0F0	KDQ70759.1
A0A069NDL9	KDR26503.1
A0A069P4S6	KDR35467.1
A0A069P8B3	KDR33511.1
A0A069PGK8	KDR39627.1
A0A069PRU7	KDR42584.1
A0A069PTN0	KDR43955.1
A0A069PTY1	KDR44203.1
A0A069S5J7	KDS45860.1
A0A069ZZS0	AJR10568.1
A0A071M0C4	KEA54409.1
A0A071M133	KEA50286.1
A0A071M426	KEA51341.1
A0A071MFW7	KEA59603.1
A0A072ND17	KEF34858.1
A0A072NDN8	KEF31180.1
A0A072NQG1	KEF39929.1
A0A072NU53	KEF51161.1
A0A072NUB4	KEF36840.1
A0A072PTW7	KEF63564.1
A0A072PUH3	KEF63511.1
A0A072TQA4	KEH19023.1
A0A072U2B3	KEH23338.1
A0A072U2B3	RHN46846.1
A0A072ZCW8	CEI02902.1
A0A072ZCW8	MUI36432.1
A0A072ZCW8	MZZ10618.1
A0A072ZCW8	OTI57359.1
A0A072ZCW8	OZO18492.1
A0A072ZCW8	QJE86811.1
A0A072ZCW8	RCI74041.1
A0A072ZCW8	RPM16399.1
A0A072ZCW8	RPW72032.1
A0A073AVD6	KEI43360.1
A0A073AY59	KEI44002.1
A0A073B2L3	KEI45522.1
A0A073CD40	KEI66229.1
A0A073KEN9	KEK20798.1
A0A073KLG2	KEK27321.1
A0A074IXM4	KEO46513.1
A0A074JGJ5	KEO56751.1
A0A074L9Z5	AOK92419.1
A0A074L9Z5	MBM0632969.1
A0A074LNK5	KEO83726.1
A0A074LPH9	KEO82989.1
A0A074LTK0	KEO84424.1
A0A074LVE3	KEO83963.1
A0A074QF51	AJF45201.1
A0A074QF51	AZZ27288.1
A0A074QF51	EFB1719348.1
A0A074QF51	EFB5921187.1
A0A074QF51	EFD4886242.1
A0A074QF51	EFE7309453.1
A0A074QF51	EFE8675181.1
A0A074QF51	EFG7939242.1
A0A074QF51	EFH3408588.1
A0A074QF51	EFH3507504.1
A0A074QF51	EFH9616584.1
A0A074QF51	EFL5809048.1
A0A074QF51	EFM1447097.1
A0A074QF51	EFM6344270.1
A0A074QF51	EFM7567795.1
A0A074QF51	EFM7859477.1
A0A074QF51	EFM8241490.1
A0A074QF51	EGD0647624.1
A0A074QF51	HAG5771082.1
A0A074QF51	HAJ0834682.1
A0A074QF51	HAJ0994238.1
A0A074QF51	MBA1885813.1
A0A074QF51	MGE12333.1
A0A074QF51	MHP35377.1
A0A074QF51	MTE90587.1
A0A074QF51	NGE87421.1
A0A074QF51	OJR57002.1
A0A074QF51	ONG34005.1
A0A074QF51	PWH64231.1
A0A074QF51	QED73151.1
A0A074QF51	QMP47630.1
A0A074QF51	RCQ99531.1
A0A074QF51	RDA16872.1
A0A074QF51	RRD77928.1
A0A074QF51	RRL41669.1
A0A074QF51	SPX22698.1
A0A074QF51	STE71119.1
A0A074QF51	STF93044.1
A0A074QF51	STJ10328.1
A0A074QF51	STM10454.1
A0A074QF51	STP45258.1
A0A074QF51	TFA53429.1
A0A074QF51	TFL32613.1
A0A074QF51	TFL79104.1
A0A074QF51	TFN76323.1
A0A074QF51	TFT27775.1
A0A074TRJ3	KEP74135.1
A0A074V5U0	KEQ00546.1
A0A074VHP2	KEQ01900.1
A0A074VIC9	KEQ58834.1
A0A074WK27	KEQ73438.1
A0A074WKB9	KEQ62861.1
A0A074WU50	KEQ73262.1
A0A074XT75	KEQ85162.1
A0A074YM49	KEQ87971.1
A0A074YQA5	KEQ99875.1
A0A074Z251	KER00428.1
A0A075AWC2	EPZ34462.1
A0A075FHM8	AIE90809.1
A0A075FK27	AIE91875.1
A0A075FY04	AIE96700.1
A0A075G5X9	AIE97167.1
A0A075GF38	AIF01845.1
A0A075GFZ3	AIF02739.1
A0A075GRW8	AIF06489.1
A0A075H3K0	AIF09087.1
A0A075HCR1	AIF13694.1
A0A075HHE5	AIF14580.1
A0A075HK70	AIF16309.1
A0A075HNX3	AIF15663.1
A0A075HU04	AIF17338.1
A0A075HUI0	AIF19280.1
A0A075HZB4	AIF20979.1
A0A075I5X9	AIF23379.1
A0A075I7C8	AIF24561.1
A0A075JNW8	AIF43711.1
A0A075KBW5	AIF51635.1
A0A075KEJ8	AIF50678.1
A0A075LJ56	AIF66424.1
A0A075LTG9	AIF69257.1
A0A075LUS6	AIF69747.1
A0A075MHS4	AIF80971.1
A0A075MNK9	AIF82715.1
A0A075NXN1	AIF97395.1
A0A075NXN1	HBU50385.1
A0A075R2X0	AIG26234.1
A0A075RDS5	AIG27555.1
A0A075SH88	AIG43213.1
A0A075ULL8	AIG73306.1
A0A075UXY4	AIG77858.1
A0A075WKM0	AIG98088.1
A0A075WLZ9	AIG98528.1
A0A075WR92	AIH03829.1
A0A076F3Q8	AII10419.1
A0A076FDD1	AII15382.1
A0A076H388	AII43397.1
A0A076H7Y1	AII45303.1
A0A076HK74	AII49458.1
A0A076HPE6	AII51088.1
A0A076LFK5	AIJ05622.1
A0A076LHP6	AIJ05998.1
A0A076LJ60	AIJ06912.1
A0A076MS60	AIJ21801.1
A0A076MTG1	AIJ24223.1
A0A076N388	AIJ25591.1
A0A076Z556	AIK71613.1
A0A076Z556	AKI95476.1
A0A076Z556	NHZ69520.1
A0A076Z556	OCM72255.1
A0A076Z556	RDY83743.1
A0A076Z556	SUN10062.1
A0A076Z556	TEB61551.1
A0A077DBN0	AIL32074.1
A0A077F372	AIL59863.1
A0A077FG49	AIL64452.1
A0A077JC50	BAP17249.1
A0A077LK87	BAP43218.1
A0A077MYB7	CDG90964.1
A0A077N3W6	CDG92884.1
A0A077NJQ6	CDH02332.1
A0A077NKB0	CDG98993.1
A0A077NKD9	CDG98365.1
A0A077NQJ9	CDH00678.1
A0A077P605	CDH06530.1
A0A077P7U6	CDH05846.1
A0A077PAY3	CDH21595.1
A0A077PE18	CDH18921.1
A0A077PN36	CDH25790.1
A0A077PS20	CDH23833.1
A0A077Q5C2	CDH31302.1
A0A077QL16	CDH34279.1
A0A077RXZ0	CDM82155.1
A0A077UK13	CDR28830.1
A0A077WKD4	CDS07569.1
A0A077XRH4	CDS92347.1
A0A077Y326	CDU17269.1
A0A077Y326	VTZ76476.1
A0A077ZDC5	CDW58362.1
A0A078BHC6	CDW94130.1
A0A078BHC6	VDY18012.1
A0A078FVP0	CDY18485.1
A0A078IR49	CAF2127968.1
A0A078IR49	CDY51929.1
A0A078KNJ9	CDZ24107.1
A0A078KSQ4	CDZ24205.1
A0A078L162	CDZ77774.1
A0A078L6S8	CDZ82415.1
A0A078LFN3	CDZ85590.1
A0A078LTH2	CDZ94444.1
A0A078LTH2	RRV15508.1
A0A078M8Y9	CEA02710.1
A0A078MFT3	CEA06168.1
A0A078MFT3	CEF27593.1
A0A080IUF2	KEO32217.1
A0A080IUG3	KEO30938.1
A0A080LVU0	KFB72753.1
A0A080MJ62	KFB77264.1
A0A080ZRR7	ETO69328.1
A0A080ZRR8	ETO69329.1
A0A081BWG0	GAK56665.1
A0A081G411	KEA65516.1
A0A081GNG2	KEF42703.1
A0A081IAV9	KEG00817.1
A0A081IAV9	VEV55769.1
A0A081K8J8	KEI70474.1
A0A081LEW8	KEP27794.1
A0A081N919	KEQ14942.1
A0A081NLI6	KEQ19309.1
A0A081P5X1	KEQ26094.1
A0A081P9X1	KEQ27494.1
A0A081PDL7	KEQ28790.1
A0A081PQU6	KEQ33069.1
A0A081PXD9	KEQ35362.1
A0A081Q0K3	KEQ36476.1
A0A081Q1L5	KJQ73228.1
A0A081QA51	KEQ39824.1
A0A081QQG1	KEQ45184.1
A0A081QYR6	KEQ48089.1
A0A081R5K1	KEQ50474.1
A0A081RLV2	KEQ56175.1
A0A081S3Q7	KER05560.1
A0A081SAK5	KER07958.1
A0A081SAK5	OOR79873.1
A0A081SAK5	RSI88170.1
A0A081SAK5	RSJ91812.1
A0A081SAK5	VTS21465.1
A0A081XRX3	KES06296.1
A0A081XWN0	KES07953.1
A0A081XXG6	KES08239.1
A0A083UD44	KEX89722.1
A0A083UMX6	KEX93154.1
A0A083URZ5	KEX94573.1
A0A083ZJ52	CAD0213940.1
A0A083ZJ52	KJX85861.1
A0A083ZUB9	KEY56648.1
A0A084A447	KEY60076.1
A0A084AC21	KEY62850.1
A0A084ATW5	KEY68744.1
A0A084AZM3	KEY70752.1
A0A084CM49	KEY90878.1
A0A084D9F5	KEZ02347.1
A0A084F187	KEZ23979.1
A0A084F187	OOR92016.1
A0A084F187	QKJ69680.1
A0A084F187	QSX13656.1
A0A084F187	STO80688.1
A0A084H3Y6	KEZ54298.1
A0A084J487	AJH19857.1
A0A084J487	ARJ23369.1
A0A084J487	EJR43614.1
A0A084J487	OFD74079.1
A0A084J487	OSX94580.1
A0A084J487	TBX57388.1
A0A084J487	TKI83460.1
A0A084JA31	KEZ85815.1
A0A084JJ23	KEZ88957.1
A0A084QAT2	KFA61067.1
A0A084QFH4	KFA62709.1
A0A084RC76	KFA73811.1
A0A084RJ74	KFA76259.1
A0A084RT33	KFA79368.1
A0A084T5Y8	KFA96123.1
A0A084U4P6	KFB07932.1
A0A084W4E2	KFB45086.1
A0A084XZU3	KFB67987.1
A0A085A9W9	KFC07014.1
A0A085DVE8	KFC50943.1
A0A085EQG0	KFC61455.1
A0A085FND5	KFC72980.1
A0A085G8N3	KFC80078.1
A0A085G8Z1	KFC80186.1
A0A085HBQ9	KFC93404.1
A0A085HI94	KFC95689.1
A0A085JH16	KFD19762.1
A0A085JZ41	KFD25737.1
A0A085L9B9	KFD41565.1
A0A085NAW7	KFD45666.1
A0A085NAW7	KFD66613.1
A0A085RTE9	RGP82264.1
A0A085U4Y5	CEK28242.1
A0A085U4Y5	SUQ01831.1
A0A085U664	CEK27785.1
A0A085U664	SUP98583.1
A0A085ULE7	KFE44010.1
A0A085V577	KFE50590.1
A0A085VPE2	KFE57305.1
A0A086CHY3	KFF41797.1
A0A086D2M1	KFF48685.1
A0A086E3L3	KFF61277.1
A0A086GSR0	KFF98427.1
A0A086GY76	KFG00344.1
A0A086JA76	KFG29044.1
A0A086JL98	KFG32916.1
A0A086L3S9	KFG51297.1
A0A086LU69	KFG60187.1
A0A086MZU7	KFG74415.1
A0A086MZX8	KFG74446.1
A0A086PWY4	KFH04866.1
A0A086Q2A3	KFH06735.1
A0A086Q2A7	KFH06739.1
A0A086SVR9	KFH41201.1
A0A086TEE4	KFH47726.1
A0A086W6D9	KFI05339.1
A0A086WQ85	KFI11935.1
A0A087F714	KFJ90129.1
A0A087HAH0	KFK39122.1
A0A087K3J6	KFK86948.1
A0A087KCB1	KFK90013.1
A0A087KGS9	KFK91581.1
A0A087L525	KFK99727.1
A0A087ME74	KFL35177.1
A0A087R1B3	KFM07267.1
A0A087RX77	KFM18081.1
A0A087RXR3	KFM18267.1
A0A087S8E7	KFM22001.1
A0A087SH84	KFM25088.1
A0A087UM23	KFM78412.1
A0A087VDE0	KFO10632.1
A0A088EAK2	AIM28340.1
A0A088EAK2	AKV75138.1
A0A088EAK2	AKV77376.1
A0A088EAK2	AKV79627.1
A0A088EAK2	AKV81872.1
A0A088EAK2	AKV84107.1
A0A088EYB6	AIM36457.1
A0A088MYC3	AIN47287.1
A0A088RWH8	AIO00379.1
A0A088U295	AIO30492.1
A0A088UAE1	AIO34151.1
A0A089HNF9	AIQ13511.1
A0A089HRD4	AIQ13290.1
A0A089I8N8	AIQ18943.1
A0A089IL72	AIQ25141.1
A0A089IMJ4	AIQ24667.1
A0A089JE51	AIQ19374.1
A0A089K3U6	AIQ42405.1
A0A089K544	AIQ42023.1
A0A089K5M4	AIQ43647.1
A0A089KFD5	AIQ47806.1
A0A089KIC4	AIQ48177.1
A0A089KND7	AIQ49335.1
A0A089KWT6	AIQ53656.1
A0A089KZM8	AIQ53275.1
A0A089L408	AIQ54825.1
A0A089LCD6	AIQ59171.1
A0A089LHH8	AIQ59550.1
A0A089LJ86	AIQ60902.1
A0A089LU56	AIQ64397.1
A0A089M017	AIQ64853.1
A0A089M6F3	AIQ69371.1
A0A089N776	AIQ64634.1
A0A089NL95	AIQ69814.1
A0A089NVK0	AIQ91387.1
A0A089PAG8	AIQ97151.1
A0A089Q1X1	AIR06682.1
A0A089R0C2	AIR00125.1
A0A089R0C2	KMK15349.1
A0A089WRZ0	AIR89252.1
A0A089X7E9	AIR99837.1
A0A089XD78	AIR99856.1
A0A089ZRH1	AIS19371.1
A0A089ZV25	AIS31694.1
A0A089ZV25	CEL25558.1
A0A090AI07	BAP54992.1
A0A090CKK7	CDP26297.1
A0A090D337	CDR35165.1
A0A090FM13	CDX19986.1
A0A090G038	CDX53584.1
A0A090I2D5	CEA13193.1
A0A090I2D5	MBF4475031.1
A0A090I7B5	AIS31907.1
A0A090I7B5	CEA14070.1
A0A090I7B5	CEL24891.1
A0A090I7B5	MBF4476030.1
A0A090I987	AIS32932.1
A0A090I987	CEA13882.1
A0A090I987	CEL23855.1
A0A090I987	MBF4473880.1
A0A090IHB9	CED61686.1
